2017-10-14 02:33:42.466559: I tensorflow/core/platform/cpu_feature_guard.cc:137] Your CPU supports instructions that this TensorFlow binary was not compiled to use: SSE4.1 SSE4.2 AVX
WARNING:tensorflow:From train.py:165: get_or_create_global_step (from tensorflow.contrib.framework.python.ops.variables) is deprecated and will be removed in a future version.
Instructions for updating:
Please switch to tf.train.get_or_create_global_step
INFO:tensorflow:Training from step: 1 
INFO:tensorflow:Step #179: rate 0.001000, accuracy 22.0%, cross entropy 2.316082
INFO:tensorflow:Step #180: rate 0.001000, accuracy 19.0%, cross entropy 2.319868
INFO:tensorflow:Step #181: rate 0.001000, accuracy 20.0%, cross entropy 2.308777
INFO:tensorflow:Step #182: rate 0.001000, accuracy 24.0%, cross entropy 2.312373
INFO:tensorflow:Step #183: rate 0.001000, accuracy 22.0%, cross entropy 2.387675
INFO:tensorflow:Step #184: rate 0.001000, accuracy 23.0%, cross entropy 2.350461
INFO:tensorflow:Step #185: rate 0.001000, accuracy 14.0%, cross entropy 2.427641
INFO:tensorflow:Step #186: rate 0.001000, accuracy 15.0%, cross entropy 2.423468
INFO:tensorflow:Step #187: rate 0.001000, accuracy 14.0%, cross entropy 2.416248
INFO:tensorflow:Step #188: rate 0.001000, accuracy 19.0%, cross entropy 2.312140
INFO:tensorflow:Step #189: rate 0.001000, accuracy 18.0%, cross entropy 2.297357
INFO:tensorflow:Step #190: rate 0.001000, accuracy 15.0%, cross entropy 2.319094
INFO:tensorflow:Step #191: rate 0.001000, accuracy 17.0%, cross entropy 2.327390
INFO:tensorflow:Step #192: rate 0.001000, accuracy 15.0%, cross entropy 2.342710
INFO:tensorflow:Step #193: rate 0.001000, accuracy 16.0%, cross entropy 2.369748
INFO:tensorflow:Step #194: rate 0.001000, accuracy 19.0%, cross entropy 2.328413
INFO:tensorflow:Step #195: rate 0.001000, accuracy 27.0%, cross entropy 2.254776
INFO:tensorflow:Step #196: rate 0.001000, accuracy 18.0%, cross entropy 2.381313
INFO:tensorflow:Step #197: rate 0.001000, accuracy 15.0%, cross entropy 2.365912
INFO:tensorflow:Step #198: rate 0.001000, accuracy 20.0%, cross entropy 2.318436
INFO:tensorflow:Step #199: rate 0.001000, accuracy 18.0%, cross entropy 2.380710
INFO:tensorflow:Step #200: rate 0.001000, accuracy 21.0%, cross entropy 2.324394
INFO:tensorflow:Saving to "/tmp/speech_commands_train/conv.ckpt-200"
INFO:tensorflow:Step #201: rate 0.001000, accuracy 19.0%, cross entropy 2.363721
INFO:tensorflow:Step #202: rate 0.001000, accuracy 23.0%, cross entropy 2.322395
INFO:tensorflow:Step #203: rate 0.001000, accuracy 16.0%, cross entropy 2.391734
INFO:tensorflow:Step #204: rate 0.001000, accuracy 17.0%, cross entropy 2.379489
INFO:tensorflow:Step #205: rate 0.001000, accuracy 17.0%, cross entropy 2.285937
INFO:tensorflow:Step #206: rate 0.001000, accuracy 15.0%, cross entropy 2.408736
INFO:tensorflow:Step #207: rate 0.001000, accuracy 20.0%, cross entropy 2.333883
INFO:tensorflow:Step #208: rate 0.001000, accuracy 13.0%, cross entropy 2.331671
INFO:tensorflow:Step #209: rate 0.001000, accuracy 21.0%, cross entropy 2.330184
INFO:tensorflow:Step #210: rate 0.001000, accuracy 15.0%, cross entropy 2.361882
INFO:tensorflow:Step #211: rate 0.001000, accuracy 21.0%, cross entropy 2.374295
INFO:tensorflow:Step #212: rate 0.001000, accuracy 19.0%, cross entropy 2.363019
INFO:tensorflow:Step #213: rate 0.001000, accuracy 22.0%, cross entropy 2.319558
INFO:tensorflow:Step #214: rate 0.001000, accuracy 15.0%, cross entropy 2.309262
INFO:tensorflow:Step #215: rate 0.001000, accuracy 20.0%, cross entropy 2.329509
INFO:tensorflow:Step #216: rate 0.001000, accuracy 21.0%, cross entropy 2.305125
INFO:tensorflow:Step #217: rate 0.001000, accuracy 21.0%, cross entropy 2.326066
INFO:tensorflow:Step #218: rate 0.001000, accuracy 25.0%, cross entropy 2.312622
INFO:tensorflow:Step #219: rate 0.001000, accuracy 22.0%, cross entropy 2.319045
INFO:tensorflow:Step #220: rate 0.001000, accuracy 20.0%, cross entropy 2.394328
INFO:tensorflow:Step #221: rate 0.001000, accuracy 18.0%, cross entropy 2.362285
INFO:tensorflow:Step #222: rate 0.001000, accuracy 17.0%, cross entropy 2.361082
INFO:tensorflow:Step #223: rate 0.001000, accuracy 24.0%, cross entropy 2.334028
INFO:tensorflow:Step #224: rate 0.001000, accuracy 15.0%, cross entropy 2.381882
INFO:tensorflow:Step #225: rate 0.001000, accuracy 18.0%, cross entropy 2.303135
INFO:tensorflow:Step #226: rate 0.001000, accuracy 14.0%, cross entropy 2.379405
INFO:tensorflow:Step #227: rate 0.001000, accuracy 23.0%, cross entropy 2.229901
INFO:tensorflow:Step #228: rate 0.001000, accuracy 26.0%, cross entropy 2.178523
INFO:tensorflow:Step #229: rate 0.001000, accuracy 15.0%, cross entropy 2.410475
INFO:tensorflow:Step #230: rate 0.001000, accuracy 18.0%, cross entropy 2.388153
INFO:tensorflow:Step #231: rate 0.001000, accuracy 18.0%, cross entropy 2.317729
INFO:tensorflow:Step #232: rate 0.001000, accuracy 22.0%, cross entropy 2.363437
